ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
INTC,Long,PULLBACK,T2-LONG,84,118.2,113.5385,135.0899,,3.6,4.6615,127.02,6.9,APPROACH,2,2,"1h,4h",118.2,117.05,HIGHWAY,EXCITED,1.08,5183709851,0.9,0.9,1493615,0,20.1,59,8,5016.6,MEGA,0.02,137.315,139.63,135.0,-3.3,DISCOUNT,DISCOUNT,16092,23,3794,6.4,B,False,11.155671428571425,0.42,N/A,,TECH,SEMIS,NEUTRAL,NEUTRAL,0.72,0.44,1.4,0.44,0.909,0.909,0.091,0.364,0.44,1.5638,FAVORABLE,117.05,118.2,119.382,28,21,17,5.14,3.62,2.69,3277.4,2482.2,2029.49,10:30,113.5385,135.0899,PULLBACK_LIMIT,,,,MID,LIMIT
ALKT,Long,PULLBACK,T1-STRONG_LONG,100,17.2,16.5041,21.03,18.445,5.5,0.6959,18.72,8.1,WAITING,2,2,"1h,4h",17.2,17.0145,HIGHWAY,EXCITED,0.99,20493766,2.1,1.7,0,2,22.5,25,8,59.24,HIGH,0.08,18.445,18.12,18.77,3.6,PREMIUM,DISCOUNT,538,6,519,12.3,A,True,0.8082142857142857,0.86,N/A,,TECH,,NEUTRAL,,0.72,,1.4,0.72,1.0,1.0,0.727,1.0,0.72,1.4478,FAVORABLE,17.0145,17.2,17.372,195,143,115,7.87,5.5,4.21,3317.83,2459.6,1997.78,10:30,16.5041,21.03,PULLBACK_LIMIT,,,,MID,LIMIT
Z,Long,BOUNCE,T1-STRONG_LONG,100,33.02,30.5938,39.11,,2.5,2.4262,33.02,2.0,CLOSE,10,6,"10m,15m,1h,30m,4h,5m",32.37,31.54,HIGHWAY,EXCITED,1.91,264889683,1.2,0.9,0,0,15.7,27,8,210.04,MEGA,0.03,31.78,31.52,32.04,1.6,PREMIUM,PREMIUM,458,2,218,18.4,C,False,1.7257142857142866,1.41,N/A,,TECH,CHINA_TECH,NEUTRAL,HOT,0.72,0.92,1.4,0.92,0.818,0.5,0.727,0.545,0.92,1.2669,FAVORABLE,31.54,33.02,33.3502,105,41,36,8.0,2.51,2.09,3311.7,1353.82,1200.61,10:30,30.5938,39.11,PULLBACK_LIMIT,,,,MID,LIMIT
CG,Long,BOUNCE,T2-LONG,96,42.33,39.3044,48.3812,,2.0,3.0256,42.33,1.7,CLOSE,3,3,"1h,30m,4h",41.6,40.52,OPEN_ROAD,EXCITED,0.92,84981784,0.7,1.2,0,0,8.6,18,8,261.67,MEGA,0.01,42.12,42.11,42.13,0.0,FLAT,FLAT,222,2,99,4.2,C,False,1.7335714285714272,1.75,N/A,,FINANCIAL,,NEUTRAL,,0.68,,1.97,0.68,0.364,0.364,0.227,0.091,0.68,0.9404,FAVORABLE,40.52,42.33,42.7533,82,33,28,6.47,2.0,1.63,3322.64,1396.89,1197.09,10:30,39.3044,48.3812,PULLBACK_LIMIT,,,,MID,LIMIT
TRU,Long,BOUNCE,T1-STRONG_LONG,96,74.47,69.9758,83.4584,,2.0,4.4942,74.47,2.0,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",72.975,72.14,HIGHWAY,EXCITED,1.17,228732811,1.0,1.0,0,0,13.1,26,8,191.49,HIGH,0.02,72.39,72.14,72.64,0.7,PREMIUM,PREMIUM,1671,3,717,7.5,B,False,2.914285714285716,1.54,N/A,,TECH,,NEUTRAL,,0.72,,1.4,0.72,0.364,0.5,0.227,0.364,0.72,0.9387,FAVORABLE,72.14,74.47,75.2147,46,22,19,5.23,2.0,1.57,3318.44,1638.34,1429.08,10:30,69.9758,83.4584,PULLBACK_LIMIT,,,,MID,LIMIT
NTRA,Long,PULLBACK,T1-STRONG_LONG,100,276.27,252.9178,322.9744,,2.0,23.3522,276.27,4.1,APPROACH,2,1,1d,265.0,260.74,HIGHWAY,EXCITED,2.12,1279477782,1.1,1.0,0,1,8.7,30,8,139.07,HIGH,0.01,272.225,271.45,273.0,0.6,PREMIUM,DISCOUNT,10368,9,4958,99.9,A,False,13.60649285714286,1.72,N/A,,HEALTHCARE,,NEUTRAL,,0.64,,4.04,0.64,0.364,0.818,0.727,0.091,0.64,0.9147,FAVORABLE,260.74,276.27,279.0327,12,4,3,7.96,2.0,1.68,3128.88,1105.08,837.1,10:30,252.9178,322.9744,PULLBACK_LIMIT,,,,MID,LIMIT
TRI,Long,BOUNCE,T1-STRONG_LONG,83,84.91,79.2199,96.2902,,2.0,5.6901,84.91,1.2,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",83.925,81.67,OPEN_ROAD,EXCITED,1.03,140742221,0.6,0.7,0,0,9.3,26,8,127.4,HIGH,0.01,82.03,81.67,82.39,0.9,PREMIUM,PREMIUM,2011,2,1282,5.8,C,False,3.4436071428571418,1.65,N/A,,INDUSTRIAL,,NEUTRAL,,0.52,,1.75,0.52,0.364,0.182,0.0,0.091,0.52,0.906,FAVORABLE,81.67,84.91,85.7591,40,17,15,5.97,2.0,1.61,3266.8,1443.47,1286.39,10:30,79.2199,96.2902,PULLBACK_LIMIT,,,,MID,LIMIT
OLLI,Long,BOUNCE,T2-LONG,100,75.51,69.84,86.885,77.625,2.0,5.67,75.51,2.5,CLOSE,4,3,"1d,1h,4h",73.61,72.0,HIGHWAY,EXCITED,1.08,272095451,0.9,1.0,0,0,10.6,21,8,60.19,HIGH,0.04,77.625,76.88,78.37,1.9,DISCOUNT,DISCOUNT,371,1,264,15.1,D,False,3.8996071428571426,1.45,N/A,,CONS_DISC,,STRONG,,0.84,,2.62,0.84,0.364,0.636,0.727,0.773,0.84,0.7838,FAVORABLE,72.0,75.51,76.2651,46,17,15,6.89,2.01,1.65,3312.0,1283.67,1143.98,10:30,69.84,86.885,PULLBACK_LIMIT,,,,MID,LIMIT
PRCH,Long,PULLBACK,T1-STRONG_LONG,100,15.98,14.5888,18.7624,,2.0,1.3912,15.98,4.0,APPROACH,7,6,"10m,15m,1h,30m,4h,5m",15.34,15.04,OPEN_ROAD,EXCITED,3.34,42385527,1.5,1.1,0,1,24.7,59,8,84.4,HIGH,0.04,15.05,15.04,15.06,0.1,FLAT,FLAT,595,11,340,6.2,B,True,0.8358071428571429,1.66,N/A,,TECH,,NEUTRAL,,0.72,,1.4,0.72,0.364,0.727,0.727,0.773,0.72,0.7751,FAVORABLE,15.04,15.98,16.1398,221,71,64,8.25,2.0,1.69,3323.84,1134.58,1032.95,10:30,14.5888,18.7624,PULLBACK_LIMIT,,,,MID,LIMIT
PRGO,Long,BOUNCE,T1-STRONG_LONG,100,10.31,9.7485,11.433,10.445,2.0,0.5615,10.31,1.6,CLOSE,4,4,"1d,1h,30m,4h",10.15,10.05,HIGHWAY,EXCITED,0.71,48427253,1.2,1.0,0,1,11.5,20,8,137.65,HIGH,0.04,10.445,10.39,10.5,1.1,DISCOUNT,DISCOUNT,64,2,32,2.8,C,True,0.5191428571428569,1.08,N/A,,HEALTHCARE,,NEUTRAL,,0.64,,4.04,0.64,0.364,0.273,0.727,0.773,0.64,0.6147,FAVORABLE,10.05,10.31,10.4131,331,178,150,4.59,2.0,1.53,3326.55,1835.18,1561.96,10:30,9.7485,11.433,PULLBACK_LIMIT,,,,MID,LIMIT
STGW,Long,BOUNCE,T1-STRONG_LONG,100,7.58,7.2071,8.3258,,2.0,0.3729,7.58,1.1,CLOSE,5,5,"10m,15m,1d,30m,5m",7.5,7.43,HIGHWAY,EXCITED,4.39,32675844,2.4,1.4,0,2,14.7,19,8,103.95,HIGH,0.04,7.465,7.43,7.5,0.9,PREMIUM,MID,167,5,31,99.9,B,True,0.33260714285714277,1.12,N/A,,TECH,,NEUTRAL,,0.72,,1.4,0.72,0.364,0.091,0.727,0.773,0.72,0.5842,FAVORABLE,7.43,7.58,7.6558,448,268,222,4.02,2.0,1.49,3328.64,2031.44,1699.59,10:30,7.2071,8.3258,PULLBACK_LIMIT,,,,MID,LIMIT
