ticker,side,mode,tier,fem,entry,stop,t1,t2,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,entry_basis,day_x_date,day_x_gap_count,day_x_rising_lows,day_x_session_low,day_x_session_high,day_y_gap_bot,day_y_gap_top,day_y_created_today,rejection_time,rejection_time_bucket,rejection_vol_mult,second_gap_today,highway_obstacles,path_score,vol_delta_8bar,vol_delta_2bar,vol_delta_ratio,extension_pct,extended,news_has_bull,news_impact,news_catalyst,news_age_hrs
OPEN,Long,BOUNCE,T1-STRONG_BOUNCE,80,5.37,5.35,5.87,6.37,,25.0,0.02,False,5.29,-1.51,CLOSE,6,1,15m,5.37,5.275,HIGHWAY,EXCITED,1.37,1.48,0,28.4,0,1,839.64,MEGA,0.04,LIMIT_GAP_TOP,2026-04-17,6,True,5.22,5.52,5.275,5.37,True,2026-04-17 10:15,MORNING,2.9,False,0,80,1042615.0,1356497.0,1.3,28.4,False,False,,,
ABSI,Long,BOUNCE,T1-BOUNCE,85,3.58,3.415,4.08,4.58,,3.03,0.165,False,3.58,4.05,CLOSE,20,1,15m,3.435,3.4314,HIGHWAY,EXCITED,1.7,1.06,0,32.1,0,1,143.28,HIGH,0.04,MARKET,2026-04-17,20,True,3.33,3.735,3.4314,3.435,True,2026-04-17 10:15,MORNING,1.07,True,0,80,-758116.0,-198364.0,-1.0,32.1,False,False,,,
QUBT,Long,BOUNCE,T1-BOUNCE,75,9.57,9.4313,10.07,10.57,,3.6,0.1387,False,9.57,1.05,CLOSE,5,1,15m,9.4691,9.43,HIGHWAY,EXCITED,1.78,2.59,0,54.9,0,1,199.54,HIGH,0.09,MARKET,2026-04-17,5,True,9.345,9.905,9.43,9.4691,True,2026-04-17 09:45,MORNING,2.37,False,0,80,-143487.0,-157545.0,-1.0,54.9,True,True,BULL,CONTRACT,329.9
ACHR,Long,BOUNCE,T1-BOUNCE,70,6.2299,6.19,6.7299,7.2299,,12.53,0.0399,False,6.11,-1.96,CLOSE,4,1,15m,6.2299,6.1199,HIGHWAY,EXCITED,1.17,1.09,0,27.3,0,1,627.16,MEGA,0.04,LIMIT_GAP_TOP,2026-04-17,4,True,6.1,6.485,6.1199,6.2299,True,2026-04-17 11:45,MORNING,1.34,False,0,80,-1889373.0,-1502550.0,-1.0,27.3,False,False,,,
NAT,Long,BOUNCE,T1-BOUNCE,65,6.03,5.81,6.53,7.03,,2.27,0.22,False,6.03,1.99,CLOSE,2,1,15m,5.91,5.87,HIGHWAY,EXCITED,1.33,0.92,0,15.9,0,1,200.64,MEGA,0.03,MARKET,2026-04-17,2,True,5.8,6.195,5.87,5.91,True,2026-04-17 09:45,MORNING,2.83,True,0,80,-193863.0,8713.0,-1.0,15.9,False,False,,,
FRMI,Long,BOUNCE,T1-BOUNCE,65,6.85,6.8095,7.35,7.85,,12.35,0.0405,False,6.55,-4.58,CLOSE,6,1,15m,6.85,6.84,HIGHWAY,EXCITED,0.81,1.13,0,46.5,0,1,282.09,MEGA,0.03,LIMIT_GAP_TOP,2026-04-17,6,True,6.52,7.04,6.84,6.85,True,2026-04-17 10:00,MORNING,1.47,True,0,80,-483613.0,-276118.0,-1.0,46.5,True,False,,,
AMKR,Long,BOUNCE,T1-BOUNCE,60,65.1,64.1047,67.1,69.1,,2.01,0.9953,False,67.37,4.5,CLOSE,3,1,15m,64.34,63.23,HIGHWAY,EXCITED,2.05,1.57,0,65.6,0,1,133.95,HIGH,0.03,LIMIT_REJ_CLOSE,2026-04-17,3,True,63.06,69.37,63.23,64.34,True,2026-04-17 09:45,MORNING,1.12,False,0,80,-136182.0,137828.0,-1.0,65.6,True,False,,,
UAA,Long,BOUNCE,T2-BOUNCE_WATCH,70,6.62,6.59,7.12,7.62,,16.67,0.03,False,6.49,-2.0,CLOSE,5,1,15m,6.62,6.61,HIGHWAY,EXCITED,1.31,1.04,0,20.0,0,1,302.38,MEGA,0.02,LIMIT_GAP_TOP,2026-04-17,5,True,6.38,6.69,6.61,6.62,True,2026-04-17 12:30,MIDDAY,1.07,False,0,80,-183223.0,178814.0,-1.0,20.0,False,False,,,
EFOI,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,6.49,0.0,WATCH,8,1,15m,0.0,0.0,N/A,EXCITED,19.97,0.0,0,0.0,0,1,2.92,NANO,,WATCH,2026-04-15,8,True,2.1,2.15,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
AMC,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,1.86,0.0,WATCH,13,1,15m,0.0,0.0,N/A,EXCITED,2.79,0.0,0,0.0,0,1,524.81,MEGA,,WATCH,2026-04-17,13,True,1.64,1.94,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
BZAI,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,2.52,0.0,WATCH,12,1,15m,0.0,0.0,N/A,EXCITED,5.79,0.0,0,0.0,0,1,80.09,HIGH,,WATCH,2026-04-17,12,True,2.0,2.64,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
HIVE,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,2.51,0.0,WATCH,6,1,15m,0.0,0.0,N/A,EXCITED,3.2,0.0,0,0.0,0,1,252.01,MEGA,,WATCH,2026-04-15,6,True,2.3415,2.48,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
PBM,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,7.6,0.0,WATCH,28,1,15m,0.0,0.0,N/A,EXCITED,6.52,0.0,0,0.0,0,1,0.29,NANO,,WATCH,2026-04-15,28,True,2.74,2.91,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
BBAI,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,3.85,0.0,WATCH,12,1,15m,0.0,0.0,N/A,EXCITED,1.75,0.0,0,0.0,0,1,470.66,MEGA,,WATCH,2026-04-17,12,True,3.83,4.13,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
ABTC,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,1.3,0.0,WATCH,8,1,15m,0.0,0.0,N/A,EXCITED,3.34,0.0,0,0.0,0,1,322.64,MEGA,,WATCH,2026-04-17,8,True,1.2,1.44,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
INFQ,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,17.42,0.0,WATCH,8,1,15m,0.0,0.0,N/A,EXCITED,6.23,0.0,0,0.0,0,1,137.46,HIGH,,WATCH,2026-04-10,8,True,11.5,12.71,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
MYSE,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,3.81,0.0,WATCH,25,1,15m,0.0,0.0,N/A,EXCITED,2.52,0.0,0,0.0,0,1,4.03,NANO,,WATCH,2026-04-17,25,True,3.47,3.95,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
SOUN,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,8.08,0.0,WATCH,6,1,15m,0.0,0.0,N/A,EXCITED,1.35,0.0,0,0.0,0,1,382.55,MEGA,,WATCH,2026-04-17,6,True,7.84,8.18,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
AUR,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,5.27,0.0,WATCH,11,1,15m,0.0,0.0,N/A,EXCITED,1.46,0.0,0,0.0,0,1,1251.82,MEGA,,WATCH,2026-04-15,11,True,4.72,5.325,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
RPAY,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,4.11,0.0,WATCH,22,1,15m,0.0,0.0,N/A,EXCITED,6.34,0.0,0,0.0,0,1,41.77,MED,,WATCH,2026-04-17,22,True,3.73,4.29,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
BTBT,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,1.58,0.0,WATCH,8,1,15m,0.0,0.0,N/A,EXCITED,1.36,0.0,0,0.0,0,1,320.37,MEGA,,WATCH,2026-04-14,8,True,1.475,1.57,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
BULL,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,6.72,0.0,WATCH,8,1,15m,0.0,0.0,N/A,EXCITED,1.57,0.0,0,0.0,0,1,377.73,MEGA,,WATCH,2026-04-17,8,True,6.47,6.76,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
ARRY,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,7.83,0.0,WATCH,6,1,15m,0.0,0.0,N/A,EXCITED,1.41,0.0,0,0.0,0,1,139.05,HIGH,,WATCH,2026-04-09,6,True,7.12,7.38,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
QS,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,7.1,0.0,WATCH,6,1,15m,0.0,0.0,N/A,EXCITED,1.49,0.0,0,0.0,0,1,483.24,MEGA,,WATCH,2026-04-15,6,True,6.93,7.23,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
NAK,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,2.11,0.0,WATCH,9,1,15m,0.0,0.0,N/A,EXCITED,1.39,0.0,0,0.0,0,1,550.05,MEGA,,WATCH,2026-04-10,9,True,1.74,1.85,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
RR,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,2.41,0.0,WATCH,13,1,15m,0.0,0.0,N/A,EXCITED,1.52,0.0,0,0.0,0,1,141.25,HIGH,,WATCH,2026-04-17,13,True,2.38,2.5551,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
NB,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,6.22,0.0,WATCH,6,1,15m,0.0,0.0,N/A,EXCITED,2.23,0.0,0,0.0,0,1,122.39,HIGH,,WATCH,2026-04-09,6,True,4.81,5.08,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
RXT,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,1.47,0.0,WATCH,10,1,15m,0.0,0.0,N/A,EXCITED,1.37,0.0,0,0.0,0,1,108.89,HIGH,,WATCH,2026-04-17,10,True,1.385,1.5794,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
IOT,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,30.62,0.0,WATCH,7,1,15m,0.0,0.0,N/A,EXCITED,1.68,0.0,0,0.0,0,1,353.36,MEGA,,WATCH,2026-04-17,7,True,29.57,30.8,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
WSHP,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,15.87,0.0,WATCH,21,1,15m,0.0,0.0,N/A,EXCITED,3.11,0.0,0,0.0,0,1,1.33,NANO,,WATCH,2026-04-15,21,True,5.85,8.9999,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
NEO,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,8.35,0.0,WATCH,6,1,15m,0.0,0.0,N/A,EXCITED,1.32,0.0,0,0.0,0,1,119.22,HIGH,,WATCH,2026-04-15,6,True,8.31,8.74,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
PACB,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,1.69,0.0,WATCH,9,1,15m,0.0,0.0,N/A,EXCITED,1.48,0.0,0,0.0,0,1,293.75,MEGA,,WATCH,2026-04-15,9,True,1.52,1.635,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
SLDP,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,3.37,0.0,WATCH,7,1,15m,0.0,0.0,N/A,EXCITED,1.8,0.0,0,0.0,0,1,186.08,HIGH,,WATCH,2026-04-15,7,True,3.22,3.38,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
TRVI,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,15.23,0.0,WATCH,8,1,15m,0.0,0.0,N/A,EXCITED,5.14,0.0,0,0.0,0,1,105.98,HIGH,,WATCH,2026-04-10,8,True,12.76,13.43,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
GENI,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,4.89,0.0,WATCH,7,1,15m,0.0,0.0,N/A,EXCITED,1.44,0.0,0,0.0,0,1,209.4,MEGA,,WATCH,2026-04-17,7,True,4.83,5.05,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
TMC,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,5.32,0.0,WATCH,7,1,15m,0.0,0.0,N/A,EXCITED,1.07,0.0,0,0.0,0,1,240.02,MEGA,,WATCH,2026-04-17,7,True,5.2516,5.57,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
KVYO,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,18.67,0.0,WATCH,7,1,15m,0.0,0.0,N/A,EXCITED,1.92,0.0,0,0.0,0,1,143.82,HIGH,,WATCH,2026-04-17,7,True,18.36,18.97,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
FIGR,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,36.67,0.0,WATCH,10,1,15m,0.0,0.0,N/A,EXCITED,1.76,0.0,0,0.0,0,1,129.01,HIGH,,WATCH,2026-04-14,10,True,34.89,36.98,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
W,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,81.33,0.0,WATCH,7,1,15m,0.0,0.0,N/A,EXCITED,1.77,0.0,0,0.0,0,1,107.5,HIGH,,WATCH,2026-04-17,7,True,78.6,86.49,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
BFLY,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,5.45,0.0,WATCH,13,1,15m,0.0,0.0,N/A,EXCITED,1.35,0.0,0,0.0,0,1,186.23,HIGH,,WATCH,2026-04-17,13,True,5.39,5.605,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
SLS,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,5.22,0.0,WATCH,12,1,15m,0.0,0.0,N/A,EXCITED,0.9,0.0,0,0.0,0,1,178.82,HIGH,,WATCH,2026-04-09,12,True,4.785,5.18,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
IMSR,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,7.61,0.0,WATCH,7,1,15m,0.0,0.0,N/A,EXCITED,3.11,0.0,0,0.0,0,1,56.66,HIGH,,WATCH,2026-04-10,7,True,6.15,6.42,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
MVST,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,1.95,0.0,WATCH,11,1,15m,0.0,0.0,N/A,EXCITED,1.52,0.0,0,0.0,0,1,202.95,MEGA,,WATCH,2026-04-17,11,True,1.88,2.03,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
ABCL,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,4.01,0.0,WATCH,12,1,15m,0.0,0.0,N/A,EXCITED,1.85,0.0,0,0.0,0,1,206.79,MEGA,,WATCH,2026-04-17,12,True,3.87,4.05,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
EVGO,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,2.21,0.0,WATCH,14,1,15m,0.0,0.0,N/A,EXCITED,1.02,0.0,0,0.0,0,1,132.49,HIGH,,WATCH,2026-04-17,14,True,2.16,2.3,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
NN,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,22.83,0.0,WATCH,10,1,15m,0.0,0.0,N/A,EXCITED,2.34,0.0,0,0.0,0,1,96.7,HIGH,,WATCH,2026-04-16,10,True,18.48,21.57,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
ENVB,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,1.82,0.0,WATCH,12,1,15m,0.0,0.0,N/A,EXCITED,1.42,0.0,0,0.0,0,1,1.85,NANO,,WATCH,2026-04-10,12,True,1.963,2.05,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
TOVX,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.2572,0.0,WATCH,10,1,15m,0.0,0.0,N/A,EXCITED,0.12,0.0,0,0.0,0,1,45.14,MED,,WATCH,2026-04-17,10,True,0.2475,0.2588,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
ARTL,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,4.44,0.0,WATCH,11,1,15m,0.0,0.0,N/A,EXCITED,0.02,0.0,0,0.0,0,1,0.64,NANO,,WATCH,2026-04-08,11,True,6.53,7.1,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
CMND,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.7196,0.0,WATCH,14,1,15m,0.0,0.0,N/A,EXCITED,1.11,0.0,0,0.0,0,1,2.04,NANO,,WATCH,2026-04-08,14,True,1.24,1.3953,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
CANG,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.37,0.0,WATCH,11,1,15m,0.0,0.0,N/A,EXCITED,2.06,0.0,0,0.0,0,1,229.44,MEGA,,WATCH,2026-04-17,11,True,0.4949,0.6,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
FCHL,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.3584,0.0,WATCH,8,1,15m,0.0,0.0,N/A,EXCITED,2.4,0.0,0,0.0,0,1,0.41,NANO,,WATCH,2026-04-07,8,True,1.9601,2.49,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
CMPS,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,6.66,0.0,WATCH,6,1,15m,0.0,0.0,N/A,EXCITED,0.8,0.0,0,0.0,0,1,102.16,HIGH,,WATCH,2026-04-17,6,True,6.55,6.95,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
FFAI,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.2971,0.0,WATCH,9,1,15m,0.0,0.0,N/A,EXCITED,0.94,0.0,0,0.0,0,1,241.58,MEGA,,WATCH,2026-04-13,9,True,0.2965,0.3756,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
SRXH,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.127,0.0,WATCH,8,1,15m,0.0,0.0,N/A,EXCITED,1.63,0.0,0,0.0,0,1,277.47,MEGA,,WATCH,2026-04-14,8,True,0.1276,0.1393,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
SILO,Long,BOUNCE,T2-BOUNCE_WATCH,60,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.515,0.0,WATCH,16,1,15m,0.0,0.0,N/A,EXCITED,0.54,0.0,0,0.0,0,1,13.79,LOW,,WATCH,2026-04-17,16,True,0.49,0.54,0.0,0.0,False,,,0.0,False,0,0,0.0,0.0,0.0,0.0,False,False,,,
